                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 2.3734,                 5.0617,                 1.6253,                0.03388,                0.05714,                0.01373,                0.00313,                 1.9507,                 5.0061,                 1.5912,                 0.0937,                 0.0007,                 0.0007
                      1,                  2.226,                 3.9544,                 1.5623,                0.53851,                0.28095,                0.20985,                0.09381,                 1.8317,                 3.8426,                 1.5228,               0.086441,              0.0014406,              0.0014406
                      2,                 1.9951,                 2.5524,                 1.3717,                0.76859,                0.33452,                0.36501,                0.18912,                 1.5953,                 2.8977,                 1.3986,               0.079118,              0.0021178,              0.0021178
                      3,                  1.849,                 1.9818,                 1.3115,                0.40276,                0.43461,                0.41963,                0.22953,                 1.5557,                 3.2228,                 1.4113,               0.071732,              0.0027317,              0.0027317
                      4,                 1.7267,                   1.64,                  1.286,                0.56601,                0.57066,                0.55597,                0.27786,                 1.5316,                 2.8302,                 1.3981,               0.064282,              0.0032822,              0.0032822
                      5,                 1.7121,                 1.4899,                 1.2344,                0.70152,                0.58903,                0.63554,                0.33564,                 1.4895,                 2.4428,                 1.3557,               0.056769,              0.0037694,              0.0037694
                      6,                 1.5916,                 1.3718,                 1.2072,                 0.6582,                0.62938,                0.66343,                0.39774,                 1.4211,                 1.9731,                 1.2714,               0.049193,              0.0041932,              0.0041932
                      7,                 1.6118,                 1.2653,                 1.1687,                0.66822,                0.69741,                0.70933,                0.40847,                 1.4078,                 1.5213,                 1.2839,               0.041554,              0.0045536,              0.0045536
                      8,                 1.5853,                 1.2216,                 1.1723,                0.63005,                0.64716,                0.66546,                0.34838,                 1.5245,                  1.459,                 1.3191,               0.033851,              0.0048507,              0.0048507
                      9,                 1.5627,                 1.1133,                 1.1545,                0.72683,                0.63539,                0.68589,                0.38406,                 1.6065,                 1.4409,                 1.3431,               0.026084,              0.0050844,              0.0050844
                     10,                 1.4977,                 1.0547,                 1.1343,                0.73832,                0.71231,                0.77182,                  0.429,                 1.5406,                 1.3331,                 1.2937,               0.018255,              0.0052548,              0.0052548
                     11,                 1.5486,                 1.0526,                  1.119,                0.66531,                0.80834,                  0.778,                0.44026,                 1.5002,                 1.2029,                 1.2502,               0.010362,              0.0053618,              0.0053618
                     12,                 1.5264,                 1.0916,                 1.1213,                0.75356,                0.80135,                0.82094,                0.46689,                 1.4361,                 1.1964,                 1.2171,               0.005248,               0.005248,               0.005248
                     13,                 1.4234,                 1.0055,                 1.0824,                0.74678,                0.76441,                0.80811,                0.45796,                 1.4737,                 1.2191,                 1.2159,               0.005248,               0.005248,               0.005248
                     14,                 1.4915,                0.97541,                 1.1183,                0.84303,                  0.768,                0.83317,                0.47568,                 1.4456,                 1.1311,                 1.2054,               0.004852,               0.004852,               0.004852
                     15,                 1.3919,                 0.9756,                 1.0617,                 0.9268,                0.75672,                0.84847,                0.49097,                 1.4562,                 1.0896,                 1.2095,               0.004456,               0.004456,               0.004456
                     16,                 1.4228,                0.92375,                 1.0774,                0.80816,                0.81201,                0.83278,                 0.4706,                 1.4813,                 1.1787,                  1.243,                0.00406,                0.00406,                0.00406
                     17,                 1.3892,                0.89878,                  1.047,                0.77404,                0.75595,                 0.8005,                0.44078,                 1.5364,                 1.1986,                 1.2597,               0.003664,               0.003664,               0.003664
                     18,                 1.3672,                0.85207,                 1.0393,                 0.7956,                0.80185,                0.82442,                0.49726,                 1.4619,                 1.0893,                 1.2183,               0.003268,               0.003268,               0.003268
                     19,                 1.3211,                 0.8259,                 1.0065,                0.82915,                0.76212,                0.81931,                0.47836,                 1.4765,                 1.0871,                 1.2316,               0.002872,               0.002872,               0.002872
                     20,                 1.3217,                0.79037,                 0.9977,                 0.8124,                0.77186,                0.81522,                0.48653,                 1.4634,                 1.0616,                 1.2315,               0.002476,               0.002476,               0.002476
                     21,                 1.2796,                0.78447,                  1.011,                0.79591,                0.81922,                0.82614,                 0.4869,                  1.458,                 1.0368,                 1.2241,                0.00208,                0.00208,                0.00208
                     22,                 1.3088,                0.79655,                 1.0445,                0.86504,                0.83132,                0.84894,                0.50374,                 1.4576,                0.96054,                  1.214,               0.001684,               0.001684,               0.001684
                     23,                 1.2426,                0.74147,                0.99859,                0.80501,                 0.8468,                0.85721,                0.50056,                 1.4563,                 0.9634,                  1.205,               0.001288,               0.001288,               0.001288
                     24,                 1.2675,                0.75739,                 1.0162,                0.92644,                0.79327,                0.87079,                0.50952,                 1.4473,                 0.9337,                 1.2023,               0.000892,               0.000892,               0.000892
